view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
16640308,58268.0,3031.0,367.0,34.0,321567,7,3,2,31
3139151,66186.0,5202.0,349.0,31.0,25743,48,4,2,31
8161330,165121.0,7418.0,233.0,13.0,103354,7,4,3,31
377526,85862.0,2315.0,83.0,9.0,4300,6,8,5,31
8863293,257304.0,10888.0,1330.0,110.0,78718,77,7,7,31
11085385,114680.0,16723.0,722.0,40.0,186613,29,14,10,31
6770977,153868.0,14438.0,710.0,39.0,101168,25,17,12,31
1350722,36613.0,1332.0,275.0,27.0,10539,13,0,0,32
4784194,104467.0,5199.0,269.0,39.0,53078,16,6,6,32
7585527,258665.0,4866.0,587.0,70.0,65154,54,11,6,32
10795404,139273.0,14982.0,1127.0,57.0,129342,30,11,11,32
1738452,24702.0,719.0,108.0,4.0,18761,4,2,1,33
883195,42420.0,1194.0,131.0,18.0,16758,24,2,2,33
32156514,220948.0,16796.0,1604.0,104.0,316179,35,5,4,33
8977583,116756.0,4927.0,1003.0,85.0,84329,46,12,8,33
56316780,204402.0,9719.0,1475.0,143.0,501483,20,18,9,33
7233617,110310.0,4706.0,551.0,48.0,91333,22,1,1,34
8369078,116402.0,5509.0,723.0,92.0,118694,42,2,2,34
3191399,111362.0,5726.0,765.0,52.0,24093,13,6,5,34
35149331,162040.0,10303.0,1696.0,93.0,399524,19,8,6,34
13728277,54650.0,6398.0,685.0,56.0,162403,19,9,9,34
10854061,96274.0,5967.0,572.0,66.0,162547,31,23,21,34
10727917,88525.0,3790.0,594.0,57.0,103960,20,8,6,35
11610637,97821.0,6124.0,415.0,36.0,92985,14,9,9,35
30892328,179274.0,9108.0,1143.0,103.0,270782,26,23,11,35
3248546,138859.0,7808.0,437.0,45.0,61619,45,1,1,36
5902428,132612.0,4875.0,262.0,14.0,32535,23,3,2,36
14237182,138652.0,10886.0,846.0,76.0,117885,50,7,3,36
7708816,194795.0,7984.0,566.0,58.0,77648,38,11,8,36
8817188,49654.0,6560.0,856.0,44.0,84759,32,9,9,36
7709328,145965.0,10485.0,440.0,47.0,118288,21,24,13,36
2516672,53577.0,6663.0,272.0,32.0,14107,9,2,2,37
7765224,349173.0,11577.0,1150.0,102.0,59284,34,14,7,37
17034004,216717.0,13269.0,978.0,42.0,223418,30,14,10,37
9908049,85344.0,3797.0,869.0,79.0,126466,14,21,11,37
7112235,167998.0,8196.0,391.0,45.0,64404,47,15,13,37
2348609,73628.0,3188.0,329.0,32.0,27967,19,1,1,38
1592884,201265.0,3817.0,121.0,10.0,16849,14,2,1,38
1401722,136761.0,2761.0,283.0,34.0,13245,21,8,5,38
7518738,233321.0,11030.0,1414.0,63.0,59125,47,8,6,38
77682904,197949.0,12407.0,3742.0,202.0,1543888,65,18,10,38
6425836,102126.0,2359.0,217.0,18.0,53350,6,6,5,39
3589878,207288.0,8392.0,525.0,43.0,30792,34,9,6,39
9266340,105004.0,8161.0,614.0,46.0,85235,18,19,12,39
1933933,109270.0,3654.0,311.0,22.0,15483,6,3,3,40
2985428,44337.0,4430.0,265.0,34.0,14783,10,4,4,40
7070874,123182.0,7373.0,399.0,38.0,93298,15,13,4,40
10065592,70769.0,4509.0,698.0,55.0,122026,28,11,5,40
8293003,100406.0,7076.0,609.0,63.0,87036,35,31,16,40
39952739,212041.0,16636.0,1819.0,218.0,351863,53,9,8,41
6901644,272598.0,6317.0,696.0,51.0,71111,61,19,9,41
65254841,301346.0,9600.0,1225.0,379.0,623361,117,77,31,41
1770104,90427.0,1785.0,194.0,20.0,13584,18,1,1,42
10650603,143201.0,6929.0,467.0,36.0,170102,33,2,2,42
234813,297535.0,7456.0,323.0,33.0,6936,47,4,4,42
1979816,71826.0,1523.0,192.0,22.0,28337,68,6,4,42
1830220,65753.0,3995.0,542.0,34.0,20637,93,16,10,42
8203882,184956.0,9073.0,1325.0,99.0,64357,24,4,4,43
17698298,120091.0,6291.0,625.0,49.0,230061,31,6,5,43
11595924,160112.0,4459.0,750.0,76.0,108888,17,21,12,43
19258666,144485.0,6422.0,554.0,50.0,340766,11,26,19,43
25835526,258963.0,30920.0,3407.0,230.0,299283,115,36,21,43
5491006,181818.0,4457.0,501.0,54.0,43278,34,0,0,44
3010325,86232.0,2611.0,271.0,20.0,24869,7,10,7,44
31206468,277929.0,10155.0,1095.0,107.0,345691,40,31,20,44
2770390,92764.0,4322.0,344.0,34.0,19648,13,3,3,45
20546409,312373.0,10458.0,1218.0,98.0,241216,46,6,4,45
27534434,265077.0,21309.0,1640.0,150.0,391127,36,38,23,45
3830876,146546.0,4406.0,416.0,32.0,28424,19,2,2,46
4785003,129643.0,7292.0,777.0,45.0,48766,27,3,2,46
5427619,78658.0,5974.0,406.0,46.0,49139,9,4,4,47
4448068,69387.0,3118.0,577.0,59.0,47180,13,15,4,48
6958642,88399.0,5077.0,445.0,41.0,72354,11,4,4,49
8269063,254161.0,6092.0,615.0,93.0,109687,50,41,10,50
24756098,247400.0,16915.0,1412.0,99.0,269260,34,25,14,50
510613501,426183.0,36510.0,3278.0,465.0,641111,111,155,49,50
23262570,105638.0,7737.0,1269.0,80.0,236547,20,2,2,51
13213285,175662.0,10396.0,1613.0,123.0,124697,30,3,3,51
53078122,243249.0,31556.0,3059.0,183.0,630620,74,12,7,51
10747907,144001.0,11803.0,887.0,72.0,161452,19,49,28,51
23728902,187490.0,20625.0,2548.0,167.0,272592,98,18,11,52
19201917,238921.0,10891.0,1540.0,102.0,222772,41,5,4,53
7974027,173686.0,6745.0,635.0,56.0,129538,42,17,12,53
15715202,192986.0,11555.0,1348.0,112.0,198034,43,6,3,54
14860198,178670.0,10718.0,742.0,71.0,205119,22,14,6,54
72957075,305394.0,26153.0,4751.0,302.0,1113463,47,44,18,55
33774785,185991.0,11321.0,1574.0,136.0,349616,47,11,8,56
8121102,117884.0,6327.0,578.0,51.0,69141,9,0,0,57
17488785,147377.0,9043.0,797.0,84.0,214835,43,8,6,57
6970088,121371.0,11176.0,708.0,77.0,70712,38,0,0,59
16009319,223753.0,13893.0,1172.0,91.0,439959,23,132,65,59
56231743,171144.0,27062.0,3278.0,228.0,617685,54,29,13,61
31464013,386557.0,19135.0,1725.0,116.0,431663,89,36,18,61
15564742,242517.0,10167.0,1042.0,120.0,176188,23,50,29,61
9044931,185525.0,11369.0,467.0,60.0,101844,24,19,14,63
14058071,269493.0,12154.0,1406.0,102.0,120316,63,4,3,64
24314642,317332.0,15572.0,1425.0,107.0,296810,51,29,11,64
36833818,361568.0,20328.0,2469.0,230.0,316463,44,13,8,71
5713840,126871.0,6019.0,895.0,81.0,53874,41,5,5,78
